NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-26;2021-10-02;--;;;0.0000;0.0000;85;0.0000;9275;10;0.5533;11;1;0;58;27;51;0;9208;10;500;519
CATALUNYA;GLOBAL;2021-09-26;2021-10-02;Si;;;95.1272;42.5942;30;6125.0567;3749;565;1.1158;25;4;8;21;9;22;10;2428;440;55;96
CATALUNYA;GLOBAL;2021-09-26;2021-10-02;No;63.1868;1.04619;60.3970;30.4439;2357;1869.1184;88794;55915;2.0092;197;35;12;1329;1028;1434;1029;74114;48470;23769;41328
CATALUNYA;GLOBAL;2021-09-25;2021-10-01;No;65.8952;1.08155;60.9266;31.0639;2405;1866.3801;88433;56064;2.0212;196;37;12;1322;1083;1390;1084;73745;48656;23932;42378
CATALUNYA;GLOBAL;2021-09-25;2021-10-01;--;;;0.0000;0.0000;75;0.0000;9303;11;0.4435;12;1;0;48;27;41;0;9233;11;503;523
CATALUNYA;GLOBAL;2021-09-25;2021-10-01;Si;;;99.3866;44.0140;31;6325.2498;3882;573;1.1156;28;3;9;22;9;23;10;2518;440;56;94
CATALUNYA;GLOBAL;2021-09-24;2021-09-30;No;68.3253;1.11365;61.3528;31.8776;2468;1802.5990;85590;53969;2.1177;196;38;17;1339;1129;1383;1118;71198;46902;24945;45358
CATALUNYA;GLOBAL;2021-09-24;2021-09-30;--;;;0.0000;0.0000;72;0.0000;9104;17;0.4421;12;3;0;46;26;40;0;9031;17;494;541
CATALUNYA;GLOBAL;2021-09-24;2021-09-30;Si;;;127.7828;49.6933;35;6284.0754;3799;627;1.2955;28;4;9;26;9;27;10;2406;450;58;106
CATALUNYA;GLOBAL;2021-09-23;2021-09-29;--;;;0.0000;0.0000;67;0.0000;8747;23;0.4139;13;4;0;43;24;36;0;8675;22;504;558
CATALUNYA;GLOBAL;2021-09-23;2021-09-29;Si;;;151.9195;56.7923;40;6329.5093;3750;708;1.4157;35;3;9;29;11;30;11;2395;501;67;135
CATALUNYA;GLOBAL;2021-09-23;2021-09-29;No;68.2469;1.10055;62.0116;31.7355;2457;1789.2305;84288;54236;2.1365;213;34;18;1309;1148;1353;1148;69907;47151;25841;45645
CATALUNYA;GLOBAL;2021-09-22;2021-09-28;No;67.4284;1.07814;62.5411;31.8259;2464;1730.5771;81413;52570;2.2388;227;31;18;1306;1158;1382;1149;67339;45714;27933;43770
CATALUNYA;GLOBAL;2021-09-22;2021-09-28;--;;;0.0000;0.0000;72;0.0000;8526;22;0.4365;13;3;0;46;26;37;0;8457;20;526;582
CATALUNYA;GLOBAL;2021-09-22;2021-09-28;Si;;;167.5374;61.0517;43;6468.6506;3842;714;1.3463;33;1;9;31;12;30;10;2471;500;87;154
CATALUNYA;GLOBAL;2021-09-21;2021-09-27;--;;;0.0000;0.0000;82;0.0000;8295;23;0.4605;14;4;0;47;35;37;1;8231;21;573;575
CATALUNYA;GLOBAL;2021-09-21;2021-09-27;Si;;;178.8959;61.0517;43;6631.9286;3977;694;1.3239;30;1;8;31;12;31;10;2607;490;100;164
CATALUNYA;GLOBAL;2021-09-21;2021-09-27;No;65.9508;1.03991;63.4194;31.1414;2411;1667.7389;79294;49824;2.2302;222;36;22;1250;1161;1289;1141;65592;43367;30234;45067
CATALUNYA;GLOBAL;2021-09-20;2021-09-26;No;65.4027;1.00988;64.7627;30.3018;2346;1613.8129;78654;46289;2.2328;225;31;26;1203;1143;1229;1121;64970;40277;31074;46292
